team,nickname,city,state,enrollment,currentconference,formerconferences,firstplayed,joinedfbs,latitude,longitude
Air Force,Falcons,USAF Academy/Colorado Springs[n 1],Colorado,4181,Mountain West,WAC,1955,1957,38.9983094,-104.8613176
Akron,Zips,Akron,Ohio,14516,MAC,"OAC, MCC, OVC",1891,1987,41.0814447,-81.51900529999999
Alabama,Crimson Tide,Tuscaloosa,Alabama,38316,SEC,"SIAA, SoCon",1892,,33.2098407,-87.56917349999999
Appalachian State,Mountaineers,Boone,North Carolina,20641,Sun Belt,"NSC, SoCon",1928,2014[n 2],36.216795,-81.6745517
Arizona,Wildcats,Tucson,Arizona,49471,Pac-12[n 3],"BIAA, WAC",1899,,32.2539787,-110.9741769
Arizona State,Sun Devils,Tempe,Arizona,77881,Pac-12[n 3],"BIAA, WAC",1896,,33.4255104,-111.9400054
Arkansas,Razorbacks,Fayetteville,Arkansas,29068,SEC,SWC,1894,,36.0626579,-94.1605839
Arkansas State,Red Wolves,Jonesboro,Arkansas,12863,Sun Belt,"Arkansas Intercollegiate Conference, Southland, Big West",1911,1992,35.835696,-90.7051346
Army,Black Knights,West Point,New York,4594,Independent,C-USA,1890,,41.3914827,-73.95597210000001
Auburn,Tigers,Auburn,Alabama,31526,SEC,"SIAA, SoCon",1892,,32.6098566,-85.48078249999999
Ball State,Cardinals,Muncie,Indiana,19337,MAC,"IIC, ICC",1924,1975,40.1933767,-85.3863599
Baylor,Bears,Waco,Texas,20626,Big 12,"TIAA, SWC",1899,,31.549333,-97.1466695
Boise State,Broncos,Boise,Idaho,25830,Mountain West,"ICAC, Big Sky, Big West, WAC",1933[n 4],1996,43.6150186,-116.2023137
Boston College,Eagles,Chestnut Hill,Massachusetts,15046,ACC,Big East,1893,,42.3328668,-71.1727583
Bowling Green,Falcons,Bowling Green,Ohio,17645,MAC,"Northwest Ohio Intercollegiate Athletic Association, OAC",1919,1962,41.3747744,-83.6513229
Buffalo,Bulls,Buffalo,New York,32332,MAC,New York State Conference,1894,1999,42.88644679999999,-78.8783689
