season,team,conference,overall_loss,overall_tie,overall_win,away_loss,away_tie,away_win,non_conference_loss,non_conference_tie,non_conference_win,blowout_wins,blowout_losses,close_wins,close_losses
1869,Rutgers,Independent/Unknown,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1869,Princeton,Independent/Unknown,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1870,Rutgers,Independent/Unknown,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1870,Princeton,Independent/Unknown,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1872,Rutgers,Independent/Unknown,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0
1872,Princeton,Independent/Unknown,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1872,Yale,Independent/Unknown,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1872,Columbia,Independent/Unknown,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0
1873,Stevens,Independent/Unknown,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0
1873,Columbia,Independent/Unknown,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0
1873,Yale,Independent/Unknown,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0
1873,Rutgers,Independent/Unknown,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0
1873,Princeton,Independent/Unknown,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1874,Rutgers,Independent/Unknown,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0
1874,Stevens,Independent/Unknown,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0
1874,Princeton,Independent/Unknown,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
1874,Columbia,Independent/Unknown,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,5.0
1874,Yale,Independent/Unknown,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
1875,Stevens,Independent/Unknown,3.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0
1875,Rutgers,Independent/Unknown,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
1875,Harvard,Independent/Unknown,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0
1875,Columbia,Independent/Unknown,1.0,1.0,5.0,0.0,1.0,4.0,1.0,1.0,5.0,0.0,0.0,4.0,1.0
1875,Yale,Independent/Unknown,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0
1875,Princeton,Independent/Unknown,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
1876,Princeton,Independent/Unknown,2.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0
1876,Rutgers,Independent/Unknown,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1876,Harvard,Independent/Unknown,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0
1876,Stevens,Independent/Unknown,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0
1876,Pennsylvania,Independent/Unknown,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0
1876,Columbia,Independent/Unknown,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0
1876,Yale,Independent/Unknown,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
1877,Harvard,Independent/Unknown,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0
1877,Stevens,Independent/Unknown,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0
1877,Yale,Independent/Unknown,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0
1877,Columbia,Independent/Unknown,2.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0
1877,Rutgers,Independent/Unknown,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0
1877,Amherst,Independent/Unknown,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1877,Princeton,Independent/Unknown,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0
1878,Princeton,Independent/Unknown,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0
1878,Amherst,Independent/Unknown,3.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0
1878,Stevens,Independent/Unknown,1.0,2.0,3.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0
1878,Pennsylvania,Independent/Unknown,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0
1878,Yale,Independent/Unknown,1.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,4.0,1.0
1878,Harvard,Independent/Unknown,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0
1878,Columbia,Independent/Unknown,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1878,Rutgers,Independent/Unknown,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0
1879,Stevens Alumni,Independent/Unknown,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1879,Harvard,Independent/Unknown,1.0,2.0,4.0,0.0,2.0,4.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0
1879,Princeton,Independent/Unknown,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0
1879,Columbia,Independent/Unknown,4.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0
