Institution,Nickname,Location,Founded,Joined,Left,Enrollment,Conference
Davidson College,Wildcats,"Davidson, North Carolina",1837,2014,,1843,A-10
University of Dayton,Flyers,"Dayton, Ohio",1850,1995,,11241,A-10
Duquesne University,Dukes,"Pittsburgh, Pennsylvania",1878,1976,,9274,A-10
Fordham University,Rams,"New York, New York",1841,1995,,16515,A-10
George Mason University,Patriots,"Fairfax, Virginia",1957,2013,,35047,A-10
George Washington University,Revolutionaries,"Washington, D.C.",1821,1976,,28172,A-10
La Salle University,Explorers,"Philadelphia, Pennsylvania",1863,1995,,5191,A-10
Loyola University Chicago,Ramblers,"Chicago, Illinois",1870,2022,,"16,437[4]",A-10
University of Massachusetts Amherst,Minutemen and Minutewomen,"Amherst, Massachusetts",1863,1976,,30593,A-10
University of Rhode Island,Rams,"Kingston, Rhode Island",1892,1980,,16883,A-10
University of Richmond,Spiders,"Richmond, Virginia",1840,2001,,4002,A-10
St. Bonaventure University,Bonnies,"St. Bonaventure, New York",1858,1979,,2381,A-10
Saint Joseph's University,Hawks,"Philadelphia, Pennsylvania",1851,1982,,7589,A-10
Saint Louis University,Billikens,"St. Louis, Missouri",1818,2005,,12883,A-10
Virginia Commonwealth University,Rams,"Richmond, Virginia",1838,2012,,31076,A-10
Butler University,Bulldogs,"Indianapolis, Indiana",1855,2012,2013,4667,A-10
University of North Carolina at Charlotte,49ers,"Charlotte, North Carolina",1946,2005,2013,26232,A-10
University of Pittsburgh,Panthers,"Pittsburgh, Pennsylvania",1787,1976,1982,28766,A-10
Rutgers University,Scarlet Knights,"New Brunswick, New Jersey",1766,1976,1995,58788,A-10
Temple University,Owls,"Philadelphia, Pennsylvania",1884,1982,2013,38648,A-10
Villanova University,Wildcats,"Villanova, Pennsylvania",1842,1976,1980,10482,A-10
Virginia Tech,Hokies,"Blacksburg, Virginia",1872,1995,2000,31087,A-10
West Virginia University,Mountaineers,"Morgantown, West Virginia",1867,1976,1995,29707,A-10
Xavier University,Musketeers,"Cincinnati, Ohio",1831,1995,2013,6650,A-10
Boston University,Terriers,"Boston, Massachusetts",1839,1973,1997,29978,A-10
University of Connecticut,Huskies,"Storrs, Connecticut",1881,1947,1999,25583,A-10
University of Delaware,Fightin' Blue Hens,"Newark, Delaware",1743,1986,2006,19391,A-10
Hofstra University,Pride,"Hempstead, New York",1935,2001,2006,12400,A-10
James Madison University,Dukes,"Harrisonburg, Virginia",1908,1993,2006,19927,A-10
University of Maine,Black Bears,"Orono, Maine",1865,1947,2006,10901,A-10
University of New Hampshire,Wildcats,"Durham, New Hampshire",1866,1947,2006,11942,A-10
Northeastern University,Huskies,"Boston, Massachusetts",1898,1993,2006,12913,A-10
Towson University,Tigers,"Towson, Maryland",1866,2004,2006,21950,A-10
Villanova University,Wildcats,"Villanova, Pennsylvania",1842,1988,2006,10482,A-10
The College of William & Mary,Tribe,"Williamsburg, Virginia",1693,1993,2006,8258,A-10
Pennsylvania State University,Nittany Lions,"University Park, Pennsylvania",1855,1982,1991,46810,A-10
Pennsylvania State University,Nittany Lions,"University Park, Pennsylvania",1855,1976,1979,46810,A-10
Austin Peay State University,Governors,"Clarksville, Tennessee",1927,2022,,10344,ASUN
Bellarmine University,Knights,"Louisville, Kentucky",1950,2022,,3369,ASUN
University of Central Arkansas,Bears & Sugar Bears,"Conway, Arkansas",1907,2022,,10869,ASUN
Eastern Kentucky University,Colonels,"Richmond, Kentucky",1874,2022,,16959,ASUN
Florida Gulf Coast University,Eagles,"Fort Myers, Florida[b]",1997,2022,,15076,ASUN
Jacksonville University,Dolphins,"Jacksonville, Florida",1934,2022,,4213,ASUN
Kennesaw State University,Owls,"Kennesaw, Georgia",1963,2022,,41181,ASUN
Lipscomb University,Bisons,"Nashville, Tennessee",1891,2022,,4620,ASUN
University of North Alabama,Lions,"Florence, Alabama",1830,2022,,7650,ASUN
University of North Florida,Ospreys,"Jacksonville, Florida",1969,2022,,16309,ASUN
Queens University of Charlotte,Royals,"Charlotte, North Carolina",1857,2022,,2463,ASUN
Stetson University,Hatters,"DeLand, Florida",1883,2022,,4330,ASUN
Alabama Christian College /Faulkner University,Eagles,"Montgomery, Alabama",1942,1981,1997,,Southern States Conference
Alabama College /University of Montevallo,Falcons,"Montevallo, Alabama",1896,1960,1995,,Southern States Conference
University of Alabama in Huntsville,Chargers,"Huntsville, Alabama",1950,1973,1993,,Southern States Conference
Athens College,Bears,"Athens, Alabama",1822,1948,1997,,Southern States Conference
Auburn University at Montgomery,Warhawks,"Montgomery, Alabama",1967,1975,1997,,Southern States Conference
Belhaven College,Blazers,"Jackson, Mississippi",1883,1974,1981,,Southern States Conference
Birmingham–Southern College,Panthers,"Birmingham, Alabama",1856,1977,1996,,Southern States Conference
Columbus College,Cougars,"Columbus, Georgia",1958,1972,1973,,Southern States Conference
Eldridge Baptist Academy /Eldridge Junior College,,"Eldridge, Alabama",1890,1939,1940,,Southern States Conference
Florence State Teachers College /University of North Alabama,Lions,"Florence, Alabama",1830,1949,1971,,Southern States Conference
Huntingdon College,Hawks,"Montgomery, Alabama",1854,1960,1995,,Southern States Conference
Jacksonville State Teachers College /Jacksonville State College /Jacksonville State University,Gamecocks,"Jacksonville, Alabama",1883,1938,1970,,Southern States Conference
Life College,Running Eagles,"Marietta, Georgia",1974,1996,1997,,Southern States Conference
Livingston State Teachers College /Livingston State College,Tigers,"Livingston, Alabama",1835,1938,1970,,Southern States Conference
Marion Military Institute,Tigers,"Marion, Alabama",1842,1938,1956,,Southern States Conference
Saint Bernard College /Southern Benedictine College,Saints,"Cullman, Alabama",1929,1938,1979,,Southern States Conference
Selma University,Bulldogs,"Selma, Alabama",1878,,1997,,Southern States Conference
Snead State Junior College,Parsons,"Boaz, Alabama",1898,1938,1956,,Southern States Conference
Southern Union Junior College,Bison,"Wadley, Alabama",1922,1940,1956,,Southern States Conference
Spring Hill College,Badgers,"Mobile, Alabama",1830,1942,1981,,Southern States Conference
Talladega College,Tornadoes,"Talladega, Alabama",1867,1982,1997,,Southern States Conference
Thomas College,Night Hawks,"Thomasville, Georgia",1950,1996,1997,,Southern States Conference
Troy State Teachers College /Troy State College /Troy State University,Trojans,"Troy, Alabama",1887,1938,1972,,Southern States Conference
William Carey College,Crusaders,"Hattiesburg, Mississippi",1892,1972,1981,,Southern States Conference
University of West Florida,Argonauts,"Pensacola, Florida",1963,1975,1994,,Southern States Conference
Oklahoma Baptist University,Bison,"Shawnee, Oklahoma",1910,1929,1932,,Big 4 Conference
Oklahoma City University,Goldbugs,"Oklahoma City, Oklahoma",1904,1929,1932,,Big 4 Conference
Phillips University,Haymakers,"Enid, Oklahoma",1906,1929,1932,,Big 4 Conference
University of Tulsa,Tulsa Golden Hurricane,"Tulsa, Oklahoma",1894,1929,1932,,Big 4 Conference
Eastern Washington University,Eagles,"Cheney, Washington",1882,1987,,12607,
Idaho State University,Bengals,"Pocatello, Idaho",1901,1963,,12805,
University of Montana,Grizzlies[b],"Missoula, Montana",1893,1963,,10104,
Montana State University,Bobcats,"Bozeman, Montana",1893,1963,,16766,
Northern Arizona University,Lumberjacks,"Flagstaff, Arizona",1899,1970,,22791,
University of Northern Colorado,Bears,"Greeley, Colorado",1889,2006,,12862,
Portland State University,Vikings,"Portland, Oregon",1946,1996,,27285,
"California State University, Sacramento",Hornets,"Sacramento, California",1947,1996,,31181,
Weber State University,Wildcats,"Ogden, Utah",1889,1963,,27465,
Boise State University,Broncos,"Boise, Idaho",1932,1970,1996.0,26155,
"California State University, Northridge",Matadors,"Northridge, California",1958,1996,2001.0,38511,
Gonzaga University,Bulldogs,"Spokane, Washington",1887,1963,1979.0,7421,
University of Nevada,Wolf Pack,"Reno, Nevada",1874,1979,1992.0,21034,
University of North Dakota,Fighting Hawks,"Grand Forks, North Dakota",1883,2012,2018.0,13772,
Southern Utah University,Thunderbirds,"Cedar City, Utah",1897,2012,2022.0,14330,
University of Idaho,Vandals,"Moscow, Idaho",1889,1963,1996.0,11926,Big Sky
University of Idaho,Vandals,"Moscow, Idaho",1889,2018,,11926,Big Sky
Charleston Southern University,Buccaneers,"North Charleston, South Carolina",1964,1983,,3414.0,Big South
Gardner–Webb University,Runnin' Bulldogs,"Boiling Springs, North Carolina",1905,2008,,3594.0,Big South
High Point University,Panthers,"High Point, North Carolina",1924,1999,,4545.0,Big South
Longwood University,Lancers,"Farmville, Virginia",1839,2012,,4470.0,Big South
Presbyterian College,Blue Hose,"Clinton, South Carolina",1880,2007,,1330.0,Big South
Radford University,Highlanders,"Radford, Virginia",1910,1983,,10700.0,Big South
University of North Carolina at Asheville,Bulldogs,"Asheville, North Carolina",1927,1984,,3762.0,Big South
University of South Carolina Upstate,Spartans,"Spartanburg, South Carolina",1967,2018,,6000.0,Big South
Winthrop University,Eagles,"Rock Hill, South Carolina",1886,1983,,6073.0,Big South
Armstrong State University,Pirates,"Savannah, Georgia",1935,1983,1987.0,,Big South
Augusta University[b],Jaguars,"Augusta, Georgia",1785,1983,1990.0,,Big South
Birmingham–Southern College,Panthers,"Birmingham, Alabama",1856,2000,2007.0,,Big South
Coastal Carolina University,Chanticleers,"Conway, South Carolina",1954,1983,2016.0,,Big South
Davidson College,Wildcats,"Davidson, North Carolina",1837,1990,1992.0,,Big South
Elon University,Phoenix,"Elon, North Carolina",1889,1999,2003.0,,Big South
Hampton University,Pirates,"Hampton, Virginia",1868,2018,2022.0,,Big South
Liberty University,Flames and Lady Flames,"Lynchburg, Virginia",1971,1991,2018.0,,Big South
"University of Maryland, Baltimore County",Retrievers,"Catonsville, Maryland",1966,1992,1998.0,,Big South
North Carolina A&T State University,Aggies,"Greensboro, North Carolina",1891,2021,2022.0,,Big South
University of North Carolina at Greensboro,Spartans,"Greensboro, North Carolina",1891,1992,1997.0,,Big South
Towson University,Tigers,"Towson, Maryland",1866,1992,1995.0,,Big South
Virginia Military Institute,Keydets,"Lexington, Virginia",1839,2003,2014.0,,Big South
Campbell University,Fighting Camels,"Buies Creek, North Carolina",1887,1983,1994.0,6448.0,Big South
Campbell University,Fighting Camels,"Buies Creek, North Carolina",1887,1983,1994.0,6448.0,Big South
California Polytechnic State University(Cal Poly San Luis Obispo),Mustangs,"San Luis Obispo, California",1901,1996,2000,22287,Big West
"California State University, Bakersfield(Cal State Bakersfield)",Roadrunners,"Bakersfield, California",1965,2020,2000,9261,Big West
"California State University, Fullerton(Cal State Fullerton)",Titans,"Fullerton, California",1957,1974,2000,38726,Big West
"California State University, Northridge(Cal State Northridge)",Matadors,"Northridge, California[c]",1958,2001,2000,38511,Big West
University of Hawaiʻi at Mānoa(Hawaiʻi),Rainbow Warriors& Rainbow Wahine[e],"Honolulu, Hawaii",1907,2012,2000,19074,Big West
"California State University, Long Beach(Long Beach State)",Beach[f],"Long Beach, California",1949,1969,2000,39360,Big West
"University of California, Davis(UC Davis)",Aggies,"Davis, California",1905,2007,2000,40772,Big West
"University of California, Irvine(UC Irvine)",Anteaters,"Irvine, California",1965,1977,2000,37243,Big West
"University of California, Riverside(UC Riverside)",Highlanders,"Riverside, California",1954,2001,2000,26809,Big West
"University of California, San Diego(UC San Diego)[g]",Tritons,"La Jolla, California[h]",1960,2020,2000,42968,Big West
Boise State University,Broncos,"Boise, Idaho",1932,1996,2000,22678,Big West
"California State University, Fresno(Fresno State)",Bulldogs,"Fresno, California",1911,1969,1992,22565,Big West
"California State University, Los Angeles(Cal State L.A.)",Golden Eagles,"Los Angeles, California",1947,1969,1974,20619,Big West
University of Idaho,Vandals,"Moscow, Idaho",1889,1996,2000,11180,Big West
"University of Nevada, Las Vegas(UNLV)",Rebels,"Las Vegas, Nevada[a]",1957,1982,1996,28203,Big West
"University of Nevada, Reno",Wolf Pack,"Reno, Nevada",1874,1992,2000,18227,Big West
New Mexico State University,Aggies,"Las Cruces, New Mexico",1888,1983,2000,18497,Big West
University of North Texas,Mean Green,"Denton, Texas",1890,1996,2000,35778,Big West
San Diego State University,Aztecs,"San Diego, California",1897,1969,1978,28789,Big West
San Jose State University,Spartans,"San Jose, California",1857,1969,1996,32697,Big West
Utah State University,Aggies,"Logan, Utah",1888,1978,2000,28796,Big West
University of the Pacific,Tigers,"Stockton, California",1851,1969,2000,6296,Big West
Arkansas State University,Indians[a],"Jonesboro, Arkansas",1909,1993,1995,13438,Big West
Louisiana Tech University,Bulldogs,"Ruston, Louisiana",1894,1993,1995,11581,Big West
Northern Illinois University,Huskies,"DeKalb, Illinois",1895,1993,1995,25313,Big West
University of Southwestern Louisiana[d],Ragin' Cajuns,"Lafayette, Louisiana",1898,1993,1996,19188,Big West
"University of California, Santa Barbara",Gauchos,"Santa Barbara, California",1909,1969,1973,25057,Big West
"University of California, Santa Barbara",Gauchos,"Santa Barbara, California",1909,1976,2000,25057,Big West
University at Albany,Great Danes,"Albany, New York",1844,2013,,17944,CAA
Campbell University,Fighting Camels,"Buies Creek, North Carolina",1887,2023,,5622,CAA
University of Delaware,Fightin' Blue Hens,"Newark, Delaware",1743,2007,,23281,CAA
