full_name,division,subdivision,conference_id,conference_name,reclass_year,reclass_division,reclass_subdivision,private,historically_black,region,state,simple_name
Abilene Christian University,1,FCS,920,ASUN Conference,,,,Y,N,SOUTH REGION,TX,Abilene Christian
Alabama A&M University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,AL,Alabama A&M
Alabama State University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,AL,Alabama State
University at Albany,1,FCS,837,Coastal Athletic Association,,,,N,N,EAST REGION,NY,Albany
Alcorn State University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,MS,Alcorn State
"University of Arkansas, Pine Bluff",1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,AR,Arkansas Pine Bluff
Austin Peay State University,1,FCS,920,ASUN Conference,,,,N,N,SOUTH REGION,TN,Austin Peay
Bethune-Cookman University,1,FCS,916,Southwestern Athletic Conf.,,,,Y,Y,SOUTH REGION,FL,Bethune-Cookman
Brown University,1,FCS,865,The Ivy League,,,,Y,N,EAST REGION,RI,Brown
Bryant University,1,FCS,902,Ohio Valley Conference,,,,Y,N,CENTRAL REGION,RI,Bryant
Bucknell University,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,PA,Bucknell
Butler University,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,IN,Butler
California Polytechnic State University,1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,CA,Cal Poly
"California State University, Sacramento",1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,CA,Sacramento State
"University of California, Davis",1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,CA,California Davis
Campbell University,1,FCS,837,Coastal Athletic Association,,,,Y,N,EAST REGION,NC,Campbell
University of Central Arkansas,1,FCS,920,ASUN Conference,,,,N,N,SOUTH REGION,AR,Central Arkansas
Central Connecticut State University,1,FCS,846,Northeast Conference,,,,N,N,EAST REGION,CT,Central Connecticut State
Charleston Southern University,1,FCS,902,Ohio Valley Conference,,,,Y,N,CENTRAL REGION,SC,Charleston Southern
The Citadel,1,FCS,912,Southern Conference,,,,N,N,SOUTH REGION,SC,Citadel
Colgate University,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,NY,Colgate
Columbia University-Barnard College,1,FCS,865,The Ivy League,,,,Y,N,EAST REGION,NY,Columbia -Barnard
Cornell University,1,FCS,865,The Ivy League,,,,Y,N,EAST REGION,NY,Cornell
Dartmouth College,1,FCS,865,The Ivy League,,,,Y,N,EAST REGION,NH,Dartmouth
Davidson College,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,NC,Davidson
University of Dayton,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,OH,Dayton
University of Delaware,1,FCS,837,Coastal Athletic Association,,,,N,N,EAST REGION,DE,Delaware
Delaware State University,1,FCS,876,Mid-Eastern Athletic Conf.,,,,N,Y,SOUTH REGION,DE,Delaware State
Drake University,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,IA,Drake
Duquesne University,1,FCS,846,Northeast Conference,,,,Y,N,EAST REGION,PA,Duquesne
East Tennessee State University,1,FCS,912,Southern Conference,,,,N,N,SOUTH REGION,TN,East Tennessee State
Eastern Illinois University,1,FCS,902,Ohio Valley Conference,,,,N,N,CENTRAL REGION,IL,Eastern Illinois
Eastern Kentucky University,1,FCS,920,ASUN Conference,,,,N,N,SOUTH REGION,KY,Eastern Kentucky
Eastern Washington University,1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,WA,Eastern Washington
Elon University,1,FCS,837,Coastal Athletic Association,,,,Y,N,EAST REGION,NC,Elon
Florida A&M University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,FL,Florida A&M
Fordham University,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,NY,Fordham
Furman University,1,FCS,912,Southern Conference,,,,Y,N,SOUTH REGION,SC,Furman
Gardner-Webb University,1,FCS,902,Ohio Valley Conference,,,,Y,N,CENTRAL REGION,NC,Gardner-Webb
Georgetown University,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,DC,Georgetown
Grambling State University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,LA,Grambling State
Hampton University,1,FCS,837,Coastal Athletic Association,,,,Y,Y,EAST REGION,VA,Hampton
Harvard University,1,FCS,865,The Ivy League,,,,Y,N,EAST REGION,MA,Harvard
College of the Holy Cross,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,MA,Holy Cross
Houston Christian University,1,FCS,914,Southland Conference,,,,Y,N,WEST REGION,TX,Houston Baptist
