full_name,division,subdivision,conference_id,conference_name,reclass_year,reclass_division,reclass_subdivision,private,historically_black,region,state,simple_name,Latitude,Longitude
Abilene Christian University,1,FCS,920,ASUN Conference,,,,Y,N,SOUTH REGION,TX,Abilene Christian,32.4700922,-99.7080103
Alabama A&M University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,AL,Alabama A&M,34.78384090000001,-86.5722237
Alabama State University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,AL,Alabama State,32.3629762,-86.2939803
University at Albany,1,FCS,837,Coastal Athletic Association,,,,N,N,EAST REGION,NY,Albany,42.6850273,-73.8247903
Alcorn State University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,MS,Alcorn State,31.8741511,-91.1365733
"University of Arkansas, Pine Bluff",1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,AR,Arkansas Pine Bluff,34.2473695,-92.0217418
Austin Peay State University,1,FCS,920,ASUN Conference,,,,N,N,SOUTH REGION,TN,Austin Peay,36.53498,-87.3548855
Bethune-Cookman University,1,FCS,916,Southwestern Athletic Conf.,,,,Y,Y,SOUTH REGION,FL,Bethune-Cookman,29.2110122,-81.03157399999999
Brown University,1,FCS,865,The Ivy League,,,,Y,N,EAST REGION,RI,Brown,41.8267718,-71.4025482
Bryant University,1,FCS,902,Ohio Valley Conference,,,,Y,N,CENTRAL REGION,RI,Bryant,41.9220919,-71.53772649999999
Bucknell University,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,PA,Bucknell,40.9547722,-76.88507589999999
Butler University,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,IN,Butler,39.8410384,-86.1712038
California Polytechnic State University,1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,CA,Cal Poly,35.3050053,-120.6624942
"California State University, Sacramento",1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,CA,Sacramento State,38.564761,-121.4276493
"University of California, Davis",1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,CA,California Davis,38.5382322,-121.7617125
Campbell University,1,FCS,837,Coastal Athletic Association,,,,Y,N,EAST REGION,NC,Campbell,35.408157,-78.7397718
University of Central Arkansas,1,FCS,920,ASUN Conference,,,,N,N,SOUTH REGION,AR,Central Arkansas,35.0780939,-92.4578916
Central Connecticut State University,1,FCS,846,Northeast Conference,,,,N,N,EAST REGION,CT,Central Connecticut State,41.6931245,-72.7638508
Charleston Southern University,1,FCS,902,Ohio Valley Conference,,,,Y,N,CENTRAL REGION,SC,Charleston Southern,32.9821829,-80.07065539999999
The Citadel,1,FCS,912,Southern Conference,,,,N,N,SOUTH REGION,SC,Citadel,,
Colgate University,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,NY,Colgate,42.8155894,-75.5407355
Columbia University-Barnard College,1,FCS,865,The Ivy League,,,,Y,N,EAST REGION,NY,Columbia -Barnard,40.8075355,-73.9625727
Cornell University,1,FCS,865,The Ivy League,,,,Y,N,EAST REGION,NY,Cornell,42.4534492,-76.4735027
Dartmouth College,1,FCS,865,The Ivy League,,,,Y,N,EAST REGION,NH,Dartmouth,43.7044406,-72.2886934
Davidson College,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,NC,Davidson,35.5015528,-80.8423248
University of Dayton,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,OH,Dayton,39.7401454,-84.17904449999999
University of Delaware,1,FCS,837,Coastal Athletic Association,,,,N,N,EAST REGION,DE,Delaware,39.6779504,-75.7506114
Delaware State University,1,FCS,876,Mid-Eastern Athletic Conf.,,,,N,Y,SOUTH REGION,DE,Delaware State,39.1852205,-75.54340309999999
Drake University,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,IA,Drake,41.6030995,-93.6546481
Duquesne University,1,FCS,846,Northeast Conference,,,,Y,N,EAST REGION,PA,Duquesne,40.4369485,-79.99025759999999
East Tennessee State University,1,FCS,912,Southern Conference,,,,N,N,SOUTH REGION,TN,East Tennessee State,36.3023954,-82.36985299999999
Eastern Illinois University,1,FCS,902,Ohio Valley Conference,,,,N,N,CENTRAL REGION,IL,Eastern Illinois,39.4835612,-88.17521839999999
Eastern Kentucky University,1,FCS,920,ASUN Conference,,,,N,N,SOUTH REGION,KY,Eastern Kentucky,37.7359731,-84.2987483
Eastern Washington University,1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,WA,Eastern Washington,47.4906616,-117.5847877
Elon University,1,FCS,837,Coastal Athletic Association,,,,Y,N,EAST REGION,NC,Elon,36.1003405,-79.50660839999999
Florida A&M University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,FL,Florida A&M,30.4227211,-84.2877093
Fordham University,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,NY,Fordham,40.8614567,-73.8852771
Furman University,1,FCS,912,Southern Conference,,,,Y,N,SOUTH REGION,SC,Furman,34.9274741,-82.4400679
Gardner-Webb University,1,FCS,902,Ohio Valley Conference,,,,Y,N,CENTRAL REGION,NC,Gardner-Webb,35.2475249,-81.6706979
Georgetown University,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,DC,Georgetown,38.9076089,-77.07225849999999
Grambling State University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,LA,Grambling State,32.5197213,-92.7179736
Hampton University,1,FCS,837,Coastal Athletic Association,,,,Y,Y,EAST REGION,VA,Hampton,37.0228392,-76.3343603
Harvard University,1,FCS,865,The Ivy League,,,,Y,N,EAST REGION,MA,Harvard,42.3744368,-71.1182488
College of the Holy Cross,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,MA,Holy Cross,42.2392391,-71.8079608
Houston Christian University,1,FCS,914,Southland Conference,,,,Y,N,WEST REGION,TX,Houston Baptist,29.6946466,-95.51621569999999
Howard University,1,FCS,876,Mid-Eastern Athletic Conf.,,,,Y,Y,SOUTH REGION,DC,Howard,38.9226843,-77.0194377
University of Idaho,1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,ID,Idaho,46.7288124,-117.0126084
Idaho State University,1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,ID,Idaho State,42.8627836,-112.429762
Illinois State University,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,IL,Illinois State,40.5121009,-88.99476299999999
University of the Incarnate Word,1,FCS,914,Southland Conference,2013.0,1.0,2.0,Y,N,WEST REGION,TX,Incarnate Word,29.4675393,-98.4676824
Indiana State University,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,IN,Indiana State,39.4713985,-87.40828069999999
Jackson State University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,MS,Jackson State,32.2968882,-90.2063989
Kennesaw State University,1,FCS,0,Independent,,,,N,N,SOUTH REGION,GA,Kennesaw State,34.0234337,-84.6154897
Lafayette College,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,PA,Lafayette,40.6984713,-75.2101079
Lamar University,1,FCS,914,Southland Conference,,,,N,N,WEST REGION,TX,Lamar,30.0392256,-94.0747071
Lehigh University,1,FCS,838,Patriot League,,,,Y,N,EAST REGION,PA,Lehigh,40.6048687,-75.3775187
Lindenwood University,1,FCS,902,Ohio Valley Conference,,,,Y,N,CENTRAL REGION,MO,Lindenwood,38.7859638,-90.49747719999999
Long Island University,1,FCS,846,Northeast Conference,,,,Y,N,EAST REGION,NY,Long Island,,
University of Maine,1,FCS,837,Coastal Athletic Association,,,,N,N,EAST REGION,ME,Maine,44.901867,-68.66882509999999
Marist College,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,NY,Marist,41.7231052,-73.9344876
McNeese State University,1,FCS,914,Southland Conference,,,,N,N,WEST REGION,LA,McNeese State,30.1776851,-93.2152198
Mercer University,1,FCS,912,Southern Conference,,,,Y,N,SOUTH REGION,GA,Mercer,32.8284878,-83.64969909999999
Merrimack College,1,FCS,846,Northeast Conference,2.0,1.0,2.0,Y,N,EAST REGION,MA,Merrimack,42.6673814,-71.1234527
Mississippi Valley State University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,MS,Mississippi Valley State,33.5126982,-90.3416715
Missouri State University,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,MO,Missouri State,37.2005546,-93.2806806
Monmouth University,1,FCS,837,Coastal Athletic Association,,,,Y,N,EAST REGION,NJ,Monmouth,40.2802758,-74.0054114
University of Montana,1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,MT,Montana,46.8619309,-113.9845969
Montana State University-Bozeman,1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,MT,Montana State,45.6673524,-111.0546211
Morehead State University,1,FCS,21451,Pioneer Football League,,,,N,N,CENTRAL REGION,KY,Morehead State,38.18943,-83.4310035
Morgan State University,1,FCS,876,Mid-Eastern Athletic Conf.,,,,N,Y,SOUTH REGION,MD,Morgan State,39.3437959,-76.5843847
Murray State University,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,KY,Murray State,36.616251,-88.3209372
University of New Hampshire,1,FCS,837,Coastal Athletic Association,,,,N,N,EAST REGION,NH,New Hampshire,43.138948,-70.9370252
Nicholls State University,1,FCS,914,Southland Conference,,,,N,N,WEST REGION,LA,Nicholls State,29.7903032,-90.8028911
Norfolk State University,1,FCS,876,Mid-Eastern Athletic Conf.,,,,N,Y,SOUTH REGION,VA,Norfolk State,36.8479292,-76.2620987
University of North Alabama,1,FCS,920,ASUN Conference,3.0,1.0,2.0,N,N,SOUTH REGION,AL,North Alabama,34.807836,-87.6804676
North Carolina A&T State University,1,FCS,837,Coastal Athletic Association,,,,N,Y,EAST REGION,NC,North Carolina A&T,36.0770034,-79.7718199
North Carolina Central University,1,FCS,876,Mid-Eastern Athletic Conf.,,,,N,Y,SOUTH REGION,NC,North Carolina Central,35.9752487,-78.899654
University of North Dakota,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,ND,North Dakota,47.922891,-97.0768014
North Dakota State University,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,ND,North Dakota State,46.8977528,-96.8024367
Northern Arizona University,1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,AZ,Northern Arizona,35.1802684,-111.6540336
University of Northern Colorado,1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,CO,Northern Colorado,40.4062697,-104.6944603
University of Northern Iowa,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,IA,Northern Iowa,42.5121517,-92.46464689999999
