,American Athletic Conference,ACC,Big Ten Conference,Big 12,Big 8 Conference,Big East Conference,Border Conference,Conference USA,Ivy League,Mid-American Conference,Missouri Valley Conference,Mountain West Conference,Pac-12 Conference,Pacific Coast Conference,Sun Belt Conference,SEC,Skyline Conference,Southwest Conference,Western Athletic Conference
1896,[],[],"['Illinois', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1897,[],[],"['Illinois', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1898,[],[],"['Illinois', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1899,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1900,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1901,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1902,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1903,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1904,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1905,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1906,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1907,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],"['Kansas', 'Missouri', 'Nebraska', 'Iowa', 'Washington  in St. Louis']",[],[],[],[],[],"['Iowa State', 'Iowa', 'Kansas', 'Missouri', 'Nebraska', 'Washington  in St. Louis']",[],[],[],[],[],[],[],[]
1908,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],"['Iowa State', 'Kansas', 'Missouri', 'Nebraska', 'Drake', 'Iowa', 'Washington  in St. Louis']",[],[],[],[],[],"['Iowa State', 'Kansas', 'Missouri', 'Nebraska', 'Washington  in St. Louis']",[],[],[],[],[],[],[],[]
1909,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],"['Iowa State', 'Kansas', 'Missouri', 'Nebraska', 'Drake', 'Iowa', 'Washington  in St. Louis']",[],[],[],[],[],"['Iowa State', 'Kansas', 'Missouri', 'Nebraska', 'Washington  in St. Louis']",[],[],[],[],[],[],[],[]
1910,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],"['Iowa State', 'Kansas', 'Missouri', 'Nebraska', 'Drake', 'Iowa', 'Washington  in St. Louis']",[],[],[],[],[],"['Iowa State', 'Kansas', 'Missouri', 'Nebraska', 'Washington  in St. Louis']",[],[],[],[],[],[],[],[]
